Contract_Title,Contract_Value,Supplier_Name,Award_Date,matched_sponsor,Town/City,Route
Call-Off Contract for the provision of Adobe ETLA,412736.0,BYTES SOFTWARE SERVICES LTD,2026-08-02,BYTES SOFTWARE SERVICES LIMITED,Leatherhead,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
CA16198 - Interpreting and Translation Services,196497.12,D A LANGUAGES LTD,2026-03-10,D A LANGUAGES LTD,Stretford,Skilled Worker
700 - Provision of a Document Management System,225000.0,NEC SOFTWARE SOLUTIONS LTD,2026-03-10,NEC SOFTWARE SOLUTIONS UK LTD,Hemel Hempstead,Skilled Worker
Design Services for Warrington Fire Station Modernisation Project under Scape/Perfect Circle - CPA/SPU/2696F - AWARD,383247.11,PERFECT CIRCLE JV LIMITED,2026-03-10,CIRCLE,London,Skilled Worker
CA16991 - ITT 27/2025 - ICT Appointment for Castlewellan FP Tree Tops Access Linkages,41094.0,DORAN CONSULTING,2026-03-10,DORAN CONSULTING LIMITED,Belfast,Skilled Worker
GRH Mortuary Fridges,203665.31,CONSTELLIA LIMITED,2026-03-10,CONSTELLIA,Nottingham,Skilled Worker
Biplane endo transducer,15750.0,GE MEDICAL SYSTEMS LIMITED,2026-03-10,GE MEDICAL SYSTEMS LIMITED,Chalfont St. Giles,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"CA16681 - RFQ2025/35 - NMANDD PEACEPLUS Local Action Plan Cultural Programme - ""Disability and Creativity Festival"" for the Newry, Mourne and Down District Council area.",18925.0,MAYWE EVENTS LIMITED,2026-03-10,G-EVENTS LIMITED,Wembley,Skilled Worker
CBC-1911-Q-RM Chalkhill Gateway Window Installation - AWARD,0.0,MODPLAN BUILDING & REFURBISHMENT CONTRACTORS LTD,2026-03-10,JJ BUILDING CONTRACTORS LTD,Hornchurch,Skilled Worker
Cardiology Ultrasound Scanners for ECG & CDC,312219.0,GE MEDICAL SYSTEMS LIMITED (GE HEALTHCARE),2026-03-09,GE MEDICAL SYSTEMS LIMITED,Chalfont St. Giles,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
NCC1646 BEST Digital and Data Partner,690350.0,OPENCAST SOFTWARE EUROPE LTD,2026-03-09,OPENCAST SOFTWARE EUROPE LIMITED,Newcastle-Upon-Tyne,Skilled Worker
Legal fees relating to ES-CLOUD_UK,40000.0,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,2026-03-09,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,Birmingham,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
GB-St. Helens: Contract Award Notice - Tenant Portal and Mobile Application,171904.0,PLENTIFIC LTD,2026-03-06,PLENTIFIC,London,Scale-up / Skilled Worker
NHS Adobe Licensing Renewal 2026,1029083.85,BYTES SOFTWARE SERVICES LIMITED,2026-03-06,BYTES SOFTWARE SERVICES LIMITED,Leatherhead,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
PSR005 - 0-19 Services: Healthy Child Programme,13864000.0,"WRIGHTINGTON, WIGAN AND LEIGH NHS TRUST",2026-03-05,WRIGHTINGTON WIGAN AND LEIGH TEACHING HOSPITAL NHS FOUNDATION TRUST,Wigan,Skilled Worker
Oracle Licencing,304619.0,ORACLE CORPORATION UK LIMITED,2026-03-04,ORACLE CORPORATION UK LIMITED,Reading,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Executive Recruitment,25200.0,GREEN PARK INTERIM & EXECUTIVE LTD.,2026-03-02,GREEN PARK INTERIM & EXECUTIVE LTD,Victoria,Skilled Worker
DDaT26067 - Hardware & Installation. Licences. Management Networks.,1161505.65,INSIGHT DIRECT (UK) LTD,2026-02-27,INSIGHT DIRECT (UK) LTD,Sheffield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Night Security/Patrols for Car Park [GBC] - AWARD,979245.0,MADIGANGILL RESOURCE LIMITED,2026-02-26,RESOURCE LIMITED,Cardiff,Skilled Worker
DDaT25499 - HR Establishment Control List Project,356400.0,ORGVUE LIMITED,2026-02-25,ORGVUE LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"Wildmore Public Open Space, Whittington, Worcester - Footpath Reconstruction",31878.4,COTTRILL CIVIL ENGINEERING CONTRACTORS LIMITED,2026-02-17,HL ENGINEERING CONTRACTORS LIMITED,Scunthorpe,Skilled Worker
Master Gov,111744.0,DEF SOFTWARE LIMITED,2026-02-12,DEXT SOFTWARE LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
20417 - Stretton Hall - SOC Support,40000.0,CBRE,2026-02-12,CBRE LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Purchase of 41 Vehicles for West Sussex Fire & Rescue Service,1618915.33,VOLVO CAR UK LIMITED,2026-02-11,VOLVO CAR UK,Maidenhead,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Justice Video Services,121800000.0,VODAFONE LTD,2026-02-09,RED TELECOM LTD T/A VODAFONE LTD,Newark,Skilled Worker
"Installation Services, Small Works and Reactive Call Outs",112110.0,RICKARD INTERIORS LIMITED,2026-02-06,A INTERIORS LIMITED,London,Skilled Worker
"QSB436 0900 2026-02-06 Wetheringsett manor school, Wetheringsett-Cum-Brockford (4-seated vehicle and a PA required) - AWARD",63401.1,UNIVERSAL CABS LTD,2026-02-06,UNIVERSAL CABS LTD,Ipswich,Skilled Worker
PROVISION OF DIGITAL ANDROID BATTERY A-BOARDS - AWARD,0.0,AVOIRA LIMITED,2026-02-06,AVOIRA LIMITED,Bury,Skilled Worker
CA16699 - CPC/LO/02/2023: Refurbishment of 3G sports pitch,189926.0,BLAKEDOWN SPORT & PLAY LIMITED,2026-02-06,M-SPORT LIMITED,Cockermouth,Skilled Worker
Pre-paid Card Service,80000.0,ALLPAY LIMITED,2026-02-06,ALLPAY LIMITED,Hereford,Skilled Worker
Cowcliffe Play Area,43421.3,LANDSCAPE ENGINEERING LTD.,2026-02-06,LANDSCOPE ENGINEERING LTD,Picklescott,Skilled Worker
CA16421 - CA11274: Estates and Facilities Professional Services & Consultancy Agreement Dynamic Purchasing System (DPS),400000.0,INGLETON WOOD,2026-02-06,INGLETON WOOD LLP,London,Skilled Worker
"QOC786 0900 2026-02-04 Claydon to Doucecroft School, Colchester, Essex (8-seated vehicle and a PA required) - AWARD",322181.1,A-Z PRIVATE HIRE SERVICES LTD,2026-02-06,T&T PRIVATE HIRE LTD,St. Ives,Skilled Worker
YNE-AOMR-DA-Castle Mills Electricity,44649.09,AMALGAMATED CONSTRUCTION LTD (AMCOGIFFEN),2026-02-06,AMALGAMATED CONSTRUCTION LTD,Barnsley,Skilled Worker
B Braun Paediatric Camera Stack,35900.0,B. BRAUN MEDICAL LIMITED,2026-02-05,S&S MEDICAL LIMITED,Birmingham ,Skilled Worker
L6 Digital User Experience (UX) Professional,96000.0,MANCHESTER METROPOLITAN UNIVERSITY,2026-02-05,MANCHESTER METROPOLITAN UNIVERSITY,Manchester,Skilled Worker
Skin Preparation Applicators,508374.77,"BECTON, DICKINSON U.K. LIMITED",2026-02-05,U & K LIMITED,London,Skilled Worker
DDaT26064 - Rack Server,11117.85,DELL CORPORATION LIMITED,2026-02-05,DELL CORPORATION LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Manufacture & Supply of SRP Products,46200910.33,LTI METALTECH LTD,2026-02-05,LTI METALTECH LTD,Oxfordshire,Skilled Worker
Milton Keynes Tariff Schemes - Monkston Roundabout Design,304517.0,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,2026-02-05,AECOM LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
DDaT26066 - Rack Server,11117.85,DELL CORPORATION LIMITED,2026-02-05,DELL CORPORATION LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
TEN-2526-038 (PCR15) - Change Enhancement Service,400000.0,SULLIVAN & STANLEY LIMITED,2026-02-03,SULLIVAN & STANLEY LIMITED,London ,Skilled Worker
Call-Off from CCS RM6244 / BLC-FLEET-0020a for 26 x Toyota Vehicles,444745.34,TOYOTA GB LTD,2026-02-01,TOYOTA,Derby,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Culture - Leadership Capability Accelerator programme design and delivery,325000.0,ERNST & YOUNG LLP,2026-01-30,ERNST & YOUNG,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Merton Mental Health and Wellbeing Needs Assessment (MHWNA),35000.0,POPULATION HEALTH LTD,2026-01-30,POPULATION HEALTH PARTNERS UK LTD,London,Skilled Worker
Pay the BSA Direct Debit Solution,1384000.0,ALLPAY LIMITED,2026-01-29,ALLPAY LIMITED,Hereford,Skilled Worker
Employers' perspective of automatic enrolment and Defined Benefit Schemes,73991.34,IFF RESEARCH LTD,2026-01-28,IFF RESEARCH LTD,London,Skilled Worker
Provision of Gas Monitors and Associated Equipment  - AWARD,0.0,DRAEGER SAFETY UK LTD,2026-01-26,DRAEGER SAFETY UK LTD,Blyth,Skilled Worker
Smart Ticketing Services,150000.0,EUCLID LIMITED,2026-01-26,EUCLID TRANSACTIONAL UK LIMITED,London,Skilled Worker
Maintain and Sustain Pre Construction Contract,49574.93,KIER CONSTRUCTION LTD,2026-01-23,KIER LTD,Salford,Skilled Worker
Fire Alarms and Emergency Lighting Servicing and Maintenance 2026-2030,325813.39,PROTEC FIRE DETECTION PLC,2026-01-21,PROTEC FIRE DETECTION PLC,Nelson,Skilled Worker
Observability Cloud Consumption Data,600000.0,APPVIA LTD,2026-01-19,APPVIA LTD,London,Skilled Worker
laptop computers - A call off from LUPC awarded framework agreement (NDNA) ref: ITS5071LU,34800.0,DELL CORPORATION LIMITED,2026-01-09,DELL CORPORATION LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
36736 Keyham Lodge,44191.0,ASA TRANSPORT,2026-01-09,AA TRANSPORT,Springfield,Skilled Worker
tNCEA - Morphology Condition Assessment - Phase 1,42115.0,OVE ARUP & PARTNERS LIMITED,2026-01-09,L & L PARTNERS LIMITED,Stockton-On-Tees,Skilled Worker
Snowflake Proof of Concept,52000.0,SNOWFLAKE COMPUTING UK LIMITED,2026-01-09,SNOWFLAKE COMPUTING U.K. LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Lot 2 - Various Properties - External Decorations Package 4-25 - AWARD,205003.27,RICHARDSON DECORATING CONTRACTORS LTD,2026-01-09,G CONTRACTORS LTD.,Hounslow,Skilled Worker
"EXPLORING SAFETY-CRITICAL ISSUES IN WALKING, WHEELING, AND CYCLING",98748.0,MOTT MACDONALD,2026-01-09,MOTT MACDONALD LTD,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Kitchen Equipment,107000.0,COMPASS SERVICES UK LTD,2026-01-07,UK 1 SERVICES LTD,Bradford,Skilled Worker
PAHT - Construction of Steel Frame Structure to support IPS / UPS Installations,138000.0,T & B (CONTRACTORS) LIMITED,2026-01-02,T & B (CONTRACTORS) LIMITED,St. Albans,Skilled Worker
Finance Management Solution System Software,1011000.0,UNIT4 BUSINESS SOFTWARE LIMITED,2025-12-24,UNIT4 BUSINESS SOFTWARE LTD,Harrogate,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Stage 1 Refurbishment of Former Boots Building (Pharmacy Relocation),843580.0,MORRIS AND SPOTTISWOOD LTD,2025-12-24,MORRIS & SPOTTISWOOD,Glasgow,Skilled Worker
GB-Ruthin: TPPL Denbighshire County Council HCC Lot 1 - 1 x 5 Door Electric Hatchback/SUV (28163),26870.52,CITROEN UK LIMITED,2025-12-23,PEUGEOT CITROEN AUTOMOBILES UK LIMITED,Coventry,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Legal Advice for Telford Court Sale,15000.0,SHARPE PRITCHARD,2025-12-23,SHARPE PRITCHARD LLP,London,Skilled Worker
AI Social Care Recording Tool,75000.0,BEAM UP LTD,2025-12-23,BEAM UP LTD,London,Skilled Worker
Hologic Sample Collection Devices,1049237.28,HOLOGIC LTD.,2025-12-23,HOLOGIC LTD,Manchester,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Unit 4 Professional Services Phase 2 Part 1,193500.0,UNIT4 BUSINESS SOFTWARE LTD,2025-12-23,UNIT4 BUSINESS SOFTWARE LTD,Harrogate,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
DDaT25560 - Storage System Solution,661332.12,DELL CORPORATION LIMITED,2025-12-23,DELL CORPORATION LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Provision of Fuel Cards for Internal MKCC Fleet,160000.0,SHELL U.K. OIL PRODUCTS LIMITED,2025-12-23,U & K LIMITED,London,Skilled Worker
Otterpool Park - Property Advice,17500.0,MONTAGU EVANS LLP,2025-12-22,MONTAGU EVANS LLP,London,Skilled Worker
Country Park Play Equipment,303917.51,KOMPAN LIMITED,2025-12-22,SKOMPA LIMITED,Londonderry,Skilled Worker
Cloud 9 Technologies - Citizen Mobile App 2025,54950.0,CLOUD 9 TECHNOLOGIES LTD,2025-12-19,CLOUD TECHNOLOGIES LTD,Ilford,Skilled Worker
Wales High School - Main Works (con_29682),71752966.4,BAM CONSTRUCTION LTD,2025-12-18,AMK CONSTRUCTION LTD,LANCASHIRE,Skilled Worker
Call off Contract for Provision of Desktop Hardware,131688.0,INSIGHT DIRECT UK LTD,2025-12-18,INSIGHT DIRECT (UK) LTD,Sheffield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
St John's Road - Improvement of Walking and Cycling Lanes,1681279.6,ESH CONSTRUCTION LIMITED,2025-12-18,EMS CONSTRUCTION LIMITED,London,Skilled Worker
Trinity Street - Improvement of Walking and Cycling Lanes,1578009.79,ERIC WRIGHT CIVIL ENGINEERING LTD,2025-12-18,BB CIVIL ENGINEERING LTD,Luton,Skilled Worker
"Subscription to Research, Insights, and Advisory Services",120960.0,GARTNER UK LIMITED,2025-12-18,GARTNER UK LIMITED,Egham,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Mids - PFR Lot 2 - Brookstray PFR,177734.49,WHITEHOUSE CONSTRUCTION CO. LTD,2025-12-18,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
Gartner Research Services,298300.0,GARTNER UK LIMITED,2025-12-17,GARTNER UK LIMITED,Egham,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Home Office Connectivity,73384.0,VODAFONE LIMITED,2025-12-17,VODAFONE LIMITED,Newbury,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
2025-070 AV Refresh - 10SC Arena,216601.85,CINOS LIMITED,2025-12-16,CURINOS LIMITED,London,Skilled Worker
EV Chargers Knoll Road Camberley,30000.0,CONNECTED KERB LIMITED,2025-12-15,CONNECTED KERB LIMITED,London,Skilled Worker
The Provision of UKHSA - Agency Wide Contact Strategy - 25/26,98750.0,KPMG LLP,2025-12-15,KPMG LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Occupational Health and Employee Assistance Programme (OH/EAP) Services,314000.0,PEOPLE ASSET MANAGEMENT LTD,2025-12-15,PEOPLE ASSET MANAGEMENT LTD,Warrington,Skilled Worker
CPT_25_20 - Thrive Learning Management System (LMS),210000.0,THRIVE LEARNING LIMITED,2025-12-15,HIVE LEARNING LIMITED,London,Skilled Worker
LCF23 - Small Heath Park - AWARD,122485.0,HAYSTOUN CONSTRUCTION LTD,2025-12-11,HAYSTOUN CONSTRUCTION LTD,Kenilworth,Skilled Worker
Regent Farm First School - Main Works (con_29622),13797903.0,BOWMER & KIRKLAND LTD,2025-12-10,BOWMER & KIRKLAND LTD,Belper,Skilled Worker
Mexborough MSCP Demolition,78148.59,ALAN WOOD PARTNERSHIP LTD,2025-12-10,ALAN WOOD PARTNERSHIP LIMITED,Hull,Skilled Worker
Broadmarsh Highway Maintenance Depot - Broadmarsh Highway Depot EVCP - AWARD,19021.69,BLINK CHARGING UK LTD,2025-12-10,BLINK CHARGING UK LTD,St Albans,Skilled Worker
BHCC Firewall Refresh,159992.8,PHOENIX SOFTWARE LIMITED,2025-12-10,PHOENIX SOFTWARE LIMITED,York,Skilled Worker
Mexborough Market Square,38816.83,ALAN WOOD PARTNERSHIP LTD,2025-12-10,ALAN WOOD PARTNERSHIP LIMITED,Hull,Skilled Worker
S30028 TRST3079 HGV Lorry Parking Survey,344755.1,WSP UK LIMITED,2025-12-10,KWS UK LIMITED,Royston ,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
LCF21 - Heath Street Planting Scheme - AWARD,39500.0,HAYSTOUN CONSTRUCTION LTD,2025-12-10,HAYSTOUN CONSTRUCTION LTD,Kenilworth,Skilled Worker
Nursing Agency Provision,999000.0,INTERACT MEDICAL LIMITED,2025-12-09,S&S MEDICAL LIMITED,Birmingham ,Skilled Worker
Rollout of Dash Cams with Continued Support Services  - AWARD,96810.0,UK TELEMATICS LIMITED,2025-12-09,OCTO TELEMATICS UK LIMITED,London,Skilled Worker
Vivid Pioneer Ultrasound,62340.48,GE HEALTHCARE LIMITED,2025-12-09,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Vivid Pioneer Cardiovascular Ultrasound,95842.0,GE HEALTHCARE LIMITED,2025-12-09,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
GB-Nottingham: TPPL Nottinghamshire County Council HCC Lot 1 - 2 x Large Fully Electric Car (28038),49641.88,TOYOTA (GB) PLC,2025-12-09,TOYOTA (GB) PLC,Epsom,Skilled Worker
"UKRI-5113 Building 383 Windows, Doors Replacement and Roof Solar Pv Installation",932750.39,ASHE CONSTRUCTION LTD,2025-12-08,KASH CONSTRUCTION LTD,Hayes,Skilled Worker
"UKRI-5113 MRC Harwell Building 383 Windows, Doors Replacement and Roof Solar Pv Installation",932750.39,ASHE CONSTRUCTION LTD,2025-12-08,KASH CONSTRUCTION LTD,Hayes,Skilled Worker
"Surfacing Works, Agricultural Hall, Penrith - PFK 569618",46878.09,PFK ESTATE AGENCY LIMITED,2025-12-08,AA ESTATE AGENCY LIMITED,London,Skilled Worker
Bradfields Academy - PCSA (con_29550),2359084.67,BAM CONSTRUCTION LTD,2025-12-08,AMK CONSTRUCTION LTD,LANCASHIRE,Skilled Worker
NSOIT Commercial and Procurement Lead,41405.0,INVESTIGO LIMITED,2025-12-05,INVESTIGO LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Technical Rescue Units for Norfolk Fire and Rescue Service,636867.0,EMERGENCY ONE (UK) LIMITED,2025-12-05,EMERGENCY ONE,Cumnock,Skilled Worker
Lived Experiences of Adequacy in Retirement,64800.0,YOUGOV,2025-12-03,YOUGOV PLC,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Steyning Grammar School -PCSA (con_29540),4988400.0,BAM CONSTRUCTION LTD,2025-12-02,AMK CONSTRUCTION LTD,LANCASHIRE,Skilled Worker
GB-Woodbridge: 2718-FW-DA - East Suffolk HCC Lot 2 - 5 x Ford Transit Vans,178191.65,FORD RETAIL T/A TRUST FORD,2025-12-01,RETAIL TRUST,Derby,Skilled Worker
IA3213 Staffordshire Children and Young People's Flexible Framework Contract Awards,24750.0,SPARK TO YOUR SUCCESS,2025-12-01,SPARK,london,Skilled Worker
Care Monitoring Platform,110000.0,ACCESS UK LIMITED,2025-12-01,ACCESS UK LIMITED,Loughborough,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Wellbeing - Data Analytics Services (2025-2026),40233.0,REED SPECIALIST RECRUITMENT,2025-12-01,REED SPECIALIST RECRUITMENT LIMITED,Raynes Park,Skilled Worker
Outreach Digital Learning Platform,39600.0,STUDIOUS DIGITAL EDUCATION LTD,2025-11-28,K EDUCATION LTD,London,Skilled Worker
LCF22 - Sutton New Hall Cemetery Car Park Surfacing Works - AWARD,70905.0,HAYSTOUN CONSTRUCTION LTD,2025-11-27,HAYSTOUN CONSTRUCTION LTD,Kenilworth,Skilled Worker
Udemy e-learning subscription,40571.52,SOFTWAREONE UK LIMITED,2025-11-27,SOFTWAREONE UK LIMITED,Wimbledon,Skilled Worker
Nursing Agency Provision,999000.0,ID MEDICAL GROUP LIMITED,2025-11-26,ID MEDICAL GROUP LIMITED,WOLVERTON MILL SOUTH,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Nursing Agency Provision,999000.0,PULSE HEALTHCARE LIMITED TRADING AS PULSE NURSING AT HOME,2025-11-26,PULSE HEALTHCARE LIMITED,"Turnford, Broxbourne",Skilled Worker
Nursing Agency Provision,999000.0,NISI ENTERPRISES LIMITED TRADING AS NISI STAFFING,2025-11-26,H3 ENTERPRISES LIMITED,Birkenhead,Skilled Worker
Healthy Leicestershire Digital Solution,384310.0,BOX UK,2025-11-25,BLACK BOX NETWORK SERVICES (UK) LIMITED,Reading ,Skilled Worker
Microsoft Licencing Renewal,354000.0,BYTES SOFTWARE SERVICES,2025-11-25,BYTES SOFTWARE SERVICES LIMITED,Leatherhead,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
BK5000 Ultrasound Transducer for Grantham and Lincoln Hospital Theatres,30000.0,GE HEALTHCARE LIMITED,2025-11-24,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
"Provision of Case Assessment Reports for NCP, Specific Instance Assessment and F",25000.0,MILLS & REEVE LLP,2025-11-24,MILLS & REEVE LLP,Cambridge,Skilled Worker
