Contract_Title,Contract_Value,Supplier_Name,Award_Date
Call-Off Contract for the provision of Adobe ETLA,412736.0,BYTES SOFTWARE SERVICES LTD,2026-08-02
6532/26 - Howard Wright M9 trolleys X 15 - NHSSC Framework ref. 2024/S 000-011959,81009.67,NHS SUPPLY CHAIN,2026-03-10
"2026-03-10 09:00 - QBE374 Stanton to Prepped Academy, Bury St Edmunds - AWARD",3556.8,BRAVO TRAVEL BSE LTD,2026-03-10
CA16198 - Interpreting and Translation Services,196497.12,D A LANGUAGES LTD,2026-03-10
700 - Provision of a Document Management System,225000.0,NEC SOFTWARE SOLUTIONS LTD,2026-03-10
Design Services for Warrington Fire Station Modernisation Project under Scape/Perfect Circle - CPA/SPU/2696F - AWARD,383247.11,PERFECT CIRCLE JV LIMITED,2026-03-10
Training Simulation Licenses for Incident Command,31675.0,XVR SIMULATION BV,2026-03-10
CA16991 - ITT 27/2025 - ICT Appointment for Castlewellan FP Tree Tops Access Linkages,41094.0,DORAN CONSULTING,2026-03-10
GRH Mortuary Fridges,203665.31,CONSTELLIA LIMITED,2026-03-10
Biplane endo transducer,15750.0,GE MEDICAL SYSTEMS LIMITED,2026-03-10
Local Bus 60609,217800.0,STAGECOACH MERSEYSIDE,2026-03-10
"CA16681 - RFQ2025/35 - NMANDD PEACEPLUS Local Action Plan Cultural Programme - ""Disability and Creativity Festival"" for the Newry, Mourne and Down District Council area.",18925.0,MAYWE EVENTS LIMITED,2026-03-10
CBC-1911-Q-RM Chalkhill Gateway Window Installation - AWARD,0.0,MODPLAN BUILDING & REFURBISHMENT CONTRACTORS LTD,2026-03-10
Survey and enforcement equipment - M5 J30 - Police for Devon and Cornwall,70815.41,THE POLICE AND CRIME COMMISSIONER FOR DEVON AND CORNWALL,2026-03-10
Cardiology Ultrasound Scanners for ECG & CDC,312219.0,GE MEDICAL SYSTEMS LIMITED (GE HEALTHCARE),2026-03-09
NCC1646 BEST Digital and Data Partner,690350.0,OPENCAST SOFTWARE EUROPE LTD,2026-03-09
Cardiac Diagnostic Services,54166.67,IRHYTHM TECHNOLOGIES LTD.,2026-03-09
Legal fees relating to ES-CLOUD_UK,40000.0,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,2026-03-09
Stock Condition Surveys NCC Dwellings,1275000.0,SAVILLS (UK) LIMITED,2026-03-09
Traffic Offence Ticketing and Processing Solution,262294.0,CLARITY INFORMATION SOLUTIONS LIMITED,2026-03-09
Network Services,1.0,WAVE 9,2026-03-09
Network Services,1.0,COCONNECT LIMITED,2026-03-09
GB-St. Helens: Contract Award Notice - Tenant Portal and Mobile Application,171904.0,PLENTIFIC LTD,2026-03-06
NHS Adobe Licensing Renewal 2026,1029083.85,BYTES SOFTWARE SERVICES LIMITED,2026-03-06
UKRI-5846 Wi-fi infrastructure,308711.53,CONVERGENCE (GROUP NETWORKS) LTD,2026-03-05
PSR005 - 0-19 Services: Healthy Child Programme,13864000.0,"WRIGHTINGTON, WIGAN AND LEIGH NHS TRUST",2026-03-05
GB-St. Helens: Contract Award Notice - ACC Venue Hire,81709.2,THE ACC LIVERPOOL GROUP LTD,2026-03-04
Monday.com Licenses,65000.0,SOFTCAT PLC,2026-03-04
Oracle Licencing,304619.0,ORACLE CORPORATION UK LIMITED,2026-03-04
PAVEMENT SPECIALIST,30320.64,WATERMAN ASPEN LTD,2026-03-03
Head of FPA Recruitment,15000.0,ROBERTSON BELL LTD,2026-03-02
LinkedIn Talent Solutions Subscription,186655.22,LINKEDIN IRELAND UNLIMITED COMPANY,2026-03-02
Electrosurgical pencils,303123.0,NHS SUPPLY CHAIN COORDINATION LIMITED (NHSSC - SCCL),2026-03-02
Homes England - Property - NHDF Modelling - National,162880.0,AVISON YOUNG (UK) LTD,2026-03-02
Executive Recruitment,25200.0,GREEN PARK INTERIM & EXECUTIVE LTD.,2026-03-02
ACCURO TRANSCRIPTION 26/27,41000.0,ACCURO TRANSCRIPTION SOLUTIONS LIMITED,2026-03-01
provision of WPC Registrars registration management system,92300.0,WPC SOFTWARE LIMITED,2026-02-27
"Interim Associate (Programme Co-ordinator), Major Projects",64029.24,SANCTUARY PERSONNEL LIMITED,2026-02-27
The Provision of a Remote Support Tool on behalf of NHS Counter Fraud Authority,23350.0,SOFTCAT PLC,2026-02-27
DDaT26067 - Hardware & Installation. Licences. Management Networks.,1161505.65,INSIGHT DIRECT (UK) LTD,2026-02-27
EPP0215 Laptops and Hardware Replacement,63812.0,SUMILLION LIMITED,2026-02-27
De polluted Scrap Car Provision,168000.0,J WALLIS METALS,2026-02-26
Night Security/Patrols for Car Park [GBC] - AWARD,979245.0,MADIGANGILL RESOURCE LIMITED,2026-02-26
Vehicle Conversion & Associated Services 2,4600000.0,CARTWRIGHT VEHICLE CONVERSIONS LTD,2026-02-26
DDaT25499 - HR Establishment Control List Project,356400.0,ORGVUE LIMITED,2026-02-25
Purchase of 2 x Ultrasound Scanners,136376.0,NHS SUPPLY CHAIN -,2026-02-24
HPFT - Oak & Beech Water Heater Replacement,120000.0,BSW HEATING LTD,2026-02-23
Supply and installation of bus shelters at Campbell Park.  - AWARD,37981.0,TRUEFORM,2026-02-19
PAHT - Lower Ground Floor Staff WC's,140000.0,R&B REFURBISHMENT (SKAFFTEC LTD),2026-02-18
GB-St. Helens: Contract Award Notice - Lift Installations,1500000.0,STAIRLIFT SPECIALISTS LIMITED,2026-02-18
"Wildmore Public Open Space, Whittington, Worcester - Footpath Reconstruction",31878.4,COTTRILL CIVIL ENGINEERING CONTRACTORS LIMITED,2026-02-17
Master Gov,111744.0,DEF SOFTWARE LIMITED,2026-02-12
20417 - Stretton Hall - SOC Support,40000.0,CBRE,2026-02-12
Purchase of 41 Vehicles for West Sussex Fire & Rescue Service,1618915.33,VOLVO CAR UK LIMITED,2026-02-11
Office Supplies,148000.0,BANNER GROUP LIMITED,2026-02-11
Professional Services Ratings Support,125000.0,AVISON YOUNG (UK) LTD,2026-02-11
