project_id,title,status,start_date,org_url
C64B8F09-0BC0-4DAA-AC36-F5BCC498A550,Animals and adolescents: the role played by compulsory Literature education in the formation of adult human-animal relations,Active,,http://gtr.ukri.org/gtr/api/organisations/074A2A54-B14B-46AF-80E1-D1024F02ED46
C6CDCC74-F6D9-4589-B12D-F66C8711876F,The Impact of COVID-19 Control measures on NCD risk factors and Metabolic health: A comparison of 3 Caribbean countries,Closed,,http://gtr.ukri.org/gtr/api/organisations/CA0B409A-700F-4D02-8CAF-87122EE4FCBE
C718F5AB-A18D-44D7-9D6B-F597B34D1F7F,Modulating the local immune environment via gene transfer to suppress intraocular inflammation,Closed,,http://gtr.ukri.org/gtr/api/organisations/BFE41CB6-4B8A-4082-B96B-3DFEFE793924
C747DDEF-C25B-460A-A03B-F5203458F738,The Need for Speed: Understanding the Importance of Different ELF3 Nuclear Localisation Mechanisms,Active,,http://gtr.ukri.org/gtr/api/organisations/7FF630E0-3355-4076-9E47-528D4B0DBCB3
C74ACD15-2A42-4E9B-BC84-F6E653410272,DESpec: Spectroscopic upgrade of the Dark Energy Survey,Closed,,http://gtr.ukri.org/gtr/api/organisations/BFE41CB6-4B8A-4082-B96B-3DFEFE793924
BB9A6CC4-C898-41D3-91CE-F533650023BC,Disease resistance innovation cluster,Closed,,http://gtr.ukri.org/gtr/api/organisations/8BC238A8-D3BE-44B6-B074-EAF6BB1AE46E
BBA9C06B-37E3-406C-8574-F6251AF2210D,Modelling of uncertainties in seal formation for high temperature electrolyzers,Active,,http://gtr.ukri.org/gtr/api/organisations/595A5FEA-6A63-4445-BD0B-7CA0CC2EE7DF
BBBE14F2-5008-482B-993C-F6849B5DDC59,Development of gene array technology to identify health and welfare traits in farm livestock,Closed,,http://gtr.ukri.org/gtr/api/organisations/E44CE535-936D-452A-AD9F-81235FB3358E
BBE43DF0-0C44-40FA-A927-F6D741AFAF27,ESRC Policy Fellow: National Economic and Security Policy,Closed,,http://gtr.ukri.org/gtr/api/organisations/47649064-FCD1-4D7A-A5AA-31B69B9BDFFC
BC048218-3C1E-4216-BA63-F58D2A0D55D6,Catalysis under Pressure - Free Radical Detection by EPR,Active,,http://gtr.ukri.org/gtr/api/organisations/B6A72C78-DBF1-4AA9-AC36-8685636DFB7A
BC602953-6B7D-4FCA-ACC4-F6FE194CD1C5,Soil microbiome function controlling radionuclide bioavailability and soil-to-plant transfer,Closed,,http://gtr.ukri.org/gtr/api/organisations/0E14B777-923F-44D6-8997-B12F07732982
BC649B58-EA20-49FE-812A-F5988488D8D9,Understanding the molecular pathways that underlie dectin-1 mediated cytokine responses,Closed,,http://gtr.ukri.org/gtr/api/organisations/B4A513E1-7397-4B81-B6D9-F640147686F6
