project_id,title,status,start_date,lead_organisation
C64B8F09-0BC0-4DAA-AC36-F5BCC498A550,Animals and adolescents: the role played by compulsory Literature education in the formation of adult human-animal relations,Active,,UNIVERSITY OF SHEFFIELD
C747DDEF-C25B-460A-A03B-F5203458F738,The Need for Speed: Understanding the Importance of Different ELF3 Nuclear Localisation Mechanisms,Active,,UNIVERSITY OF YORK
BBA9C06B-37E3-406C-8574-F6251AF2210D,Modelling of uncertainties in seal formation for high temperature electrolyzers,Active,,UNIVERSITY OF GLASGOW
BC048218-3C1E-4216-BA63-F58D2A0D55D6,Catalysis under Pressure - Free Radical Detection by EPR,Active,,CARDIFF UNIVERSITY
FADC87E6-54FB-4895-A829-F9F0A1DF987E,Investigating Using Video Games as a Platform for Prejudice Reduction,Active,,QUEEN MARY UNIVERSITY OF LONDON
FBA9E3B8-26D9-4C81-BD01-F9418F6E1681,Developing Molecular Quantum Technologies,Active,,DURHAM UNIVERSITY
FBF057B0-58BD-4ED0-9FFF-FB22381BAEA8,In-process ultrasonic inspection of challenging welds and additively manufactured components with complex geometries,Active,,UNIVERSITY OF STRATHCLYDE
FBF1088F-5984-41BE-895E-F9D820E1E256,"Fostering a Human-Centered, Trustworthy and Sustainable Internet",Active,,CITY UNIVERSITY OF LONDON
FC616871-F2E8-4658-946B-FAA147DA1099,A complex picture: What are the 'unwitnessed labour' experiences of social art practitioners?,Active,,UNIVERSITY OF MANCHESTER
FDDA29F5-873B-4F91-A572-F9CBB164B705,3D reconstruction of complex shapes from images,Active,,UNIVERSITY OF EDINBURGH
7A134798-F59A-4071-80A5-FCE8E5CD17B0,Proving the optimality of gamma hedging on a trinomial tree (which can model any diffusion).,Active,,KING'S COLLEGE LONDON
7A91A2A3-AFCE-4732-A3D9-FC36896FF90C,Children of the 1990s - extending understanding of social mobility in England and Wales,Active,,UNIVERSITY OF WESTMINSTER
7B463B21-0025-43AF-98A1-FBB550CD1D65,The University of Essex and TIAA Limited KTP 23_24 R2,Active,,THE UNIVERSITY OF ESSEX
7B616406-7ADC-4BF4-B24F-FD0332B614D7,Topics in Quiver Gauge Theories,Active,,IMPERIAL COLLEGE LONDON
7B780D76-8EBB-4A8F-88F2-FBA7F5BA112E,From Laboratories to Landscapes: Quantifying the Effects of Human Poaching on Predator-Prey Interactions,Active,,Unknown
7BCAB426-C918-49FF-9E54-FC260026EA5A,Looking into the Crystal Ball: Uncovering Predictive Mechanical Cues for Cell Choices in Development and Disease',Active,,UNIVERSITY OF MANCHESTER
7C744368-B553-4FD9-A80E-FBB88AB45FF5,The future of Arctic sea ice,Active,,UNIVERSITY OF READING
7CCE37F1-6FBC-4D27-BC09-FD2A606CA0D3,"Research Degree: Education, Practice and Society",Active,,UNIVERSITY COLLEGE LONDON
